bukuitab	noun	
tai	adjective	
ne	noun	
bo	verb	
musa	noun	
,	punc	
ne	noun	
kiguure	verb	
taunet	noun	
Ng'olyot	noun	
agobo	verb	
yaetab	noun	
ng'ony	noun	
eng'	preposition	
taunet	noun	
,	punc	
ko	verb	
kitoi	verb	
kamuktaindet	noun	
koyai	verb	
kipseng'wetisiek	noun	
ak	conjunction	
ng'ony	noun	
.	punc	
<utt>		
ak	conjunction	
kima	verb	
komi	verb	
kiy	noun	
ng'ony	noun	
ak	conjunction	
kima	verb	
kotinyei	verb	
iton	noun	
ak	conjunction	
kimi	verb	
mesundeito	noun	
baragutab	noun	
riret	noun	
;	punc	
kiwendote	verb	
tamirmirietab	noun	
kamuktaindet	noun	
baragutab	noun	
beek	noun	
.	punc	
<utt>		
ak	conjunction	
kimwa	verb	
kamuktaindet	verb	
kole	verb	
,	punc	
ingolapkeit	verb	
;	punc	
kolapkeit	verb	
.	punc	
<utt>		
kigeer	verb	
anyun	noun	
kamuktaindet	noun	
lapkeiyet	noun	
,	punc	
kole	verb	
mie	adjective	
:	punc	
ak	conjunction	
kiibesio	verb	
kamuktaindet	noun	
lapkeiyet	noun	
ak	conjunction	
mesundeito	noun	
.	punc	
<utt>		
kiguure	verb	
kamuktaindet	noun	
lapkeiyet	noun	
bet	noun	
,	punc	
ak	conjunction	
kiguure	verb	
mesundeito	noun	
kemoi	noun	
.	punc	
<utt>		
ak	conjunction	
kiek	verb	
koskoleny	noun	
ak	conjunction	
kiek	verb	
karon	noun	
,	punc	
betut	noun	
ageng'e	noun	
.	punc	
<utt>		
kimwa	verb	
kamuktaindet	noun	
kole	verb	
,	punc	
ingobiit	verb	
soet	noun	
eng'	preposition	
kwenutab	noun	
beek	noun	
,	punc	
si	conjunction	
kobesio	verb	
beek	noun	
chu	adjective	
ak	conjunction	
beek	noun	
chun	adjective	
.	punc	
<utt>		
ak	conjunction	
kiyai	verb	
kamuktaindet	noun	
soet	noun	
,	punc	
ak	conjunction	
kiibesio	verb	
